date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
1999-11-01,0.00,0,8.0,7.0,90.0
1999-11-02,0.00,0,6.0,3.0,90.0
1999-11-03,0.00,0,1.0,0.0,90.0
1999-11-04,0.00,0,5.8,3.1,83.4
1999-11-05,0.00,0,6.1,-0.5,86.8
1999-11-06,-1,-1,2.4,-0.2,100.0
1999-11-07,-1,-1,2.2,1.3,100.0
1999-11-08,0.00,0,3.0,0.3,94.8
1999-11-09,0.00,0,1.5,-2.3,85.5
1999-11-10,0.00,0,5.6,-1.8,83.6
1999-11-11,0.00,0,7.5,5.4,85.9
1999-11-12,0.00,0,7.4,3.8,81.5
1999-11-13,0.00,0,3.5,-4.8,75.5
1999-11-14,0.00,0,-4.3,-7.1,76.5
1999-11-15,0.21,11.5,-2.1,-5.3,72.9
1999-11-16,1.85,11.6,-2.9,-7.0,99.3
1999-11-17,6.65,15.8,-6.3,-7.6,97.6
1999-11-18,1.58,14.5,-5.3,-6.7,98.4
1999-11-19,0.46,15.5,-4.0,-8.7,97.1
1999-11-20,-1,-1,2.8,-4.5,97.8
1999-11-21,0.17,8.6,4.3,-1.5,100.0
1999-11-22,3.99,15.6,-2.7,-7.0,98.5
1999-11-23,0.11,12.8,-0.4,-5.8,99.9
1999-11-24,-1,-1,1.2,0.0,100.0
1999-11-25,0.55,8.1,0.6,-3.8,95.6
1999-11-26,-1,-1,3.9,-3.5,91.0
1999-11-27,0.17,9.0,1.6,-4.2,73.6
1999-11-28,-1,-1,3.6,-3.2,95.5
1999-11-29,6.72,11.4,-2.9,-6.4,84.8
1999-11-30,2.74,11.8,0.3,-7.9,92.3
1999-12-01,0.95,12.8,-2.5,-5.6,87.2
1999-12-02,0.00,0,-3.3,-6.8,83.9
1999-12-03,0.54,18.0,-6.0,-9.0,92.6
1999-12-04,0.00,0,-8.1,-11.0,91.5
1999-12-05,1.37,18.6,-7.6,-8.9,83.0
1999-12-06,10.05,21.5,-7.7,-11.7,93.4
1999-12-07,13.96,22.6,-11.5,-15.6,91.0
1999-12-08,2.61,23.6,-8.8,-15.0,83.3
1999-12-09,14.43,23.4,-10.0,-14.5,92.8
1999-12-10,2.26,22.8,-11.8,-14.5,91.0
1999-12-11,1.11,22.3,-10.9,-13.8,92.5
1999-12-12,2.18,25.0,-12.3,-14.7,91.0
1999-12-13,0.00,0,-12.0,-14.0,90.8
1999-12-14,0.37,23.3,-12.5,-14.0,81.5
1999-12-15,0.00,0,-7.9,-12.8,60.4
1999-12-16,0.52,21.3,-6.4,-12.3,76.3
1999-12-17,15.48,18.6,-5.6,-11.4,94.1
1999-12-18,0.46,18.0,-5.2,-8.2,82.3
1999-12-19,0.30,17.7,-5.9,-9.2,85.4
1999-12-20,0.43,17.0,-5.8,-8.5,86.1
1999-12-21,0.00,0,-4.5,-8.2,65.8
1999-12-22,2.91,14.5,-2.1,-6.5,80.7
1999-12-23,0.11,13.7,-2.0,-5.7,94.0
1999-12-24,0.68,10.0,-0.5,-2.9,97.5
1999-12-25,4.22,10.5,-1.8,-2.9,100.0
1999-12-26,4.08,11.3,-2.1,-4.5,100.0
1999-12-27,1.57,13.4,-3.8,-5.6,99.8
1999-12-28,4.92,17.1,-5.0,-9.2,96.9
1999-12-29,1.71,21.3,-9.7,-13.7,92.9
1999-12-30,0.00,0,-9.3,-12.1,94.4
1999-12-31,0.00,0,-8.1,-11.7,95.2
2000-01-01,2.84,19.9,-2.4,-11.6,96.3
2000-01-02,3.26,13.3,-2.7,-6.1,93.8
2000-01-03,0.75,13.1,-1.7,-5.9,88.0
