date,snowfall_cm,slr,temp_max,temp_min,humidity_avg,accumulated_snowfall_cm
2011-11-01,0.00,0,7.6,3.6,90.2,0.00
2011-11-02,0.00,0,7.4,2.6,90.6,0.00
2011-11-03,0.00,0,6.7,1.7,97.8,0.00
2011-11-04,-1,-1,2.8,1.4,100.0,0.00
2011-11-05,-1,-1,5.5,2.9,98.3,0.00
2011-11-06,-1,-1,5.3,2.9,97.0,0.00
2011-11-07,0.00,0,7.2,3.7,70.0,0.00
2011-11-08,0.00,0,10.3,7.1,41.8,0.00
2011-11-09,0.00,0,10.7,4.2,45.5,0.00
2011-11-10,0.00,0,6.8,2.9,73.8,0.00
2011-11-11,0.00,0,7.1,3.1,65.7,0.00
2011-11-12,0.00,0,7.4,-5.2,46.9,0.00
2011-11-13,0.00,0,3.9,1.5,79.7,0.00
2011-11-14,0.00,0,3.8,1.2,82.3,0.00
2011-11-15,0.00,0,4.7,-0.3,62.3,0.00
2011-11-16,0.00,0,6.3,-1.1,67.5,0.00
2011-11-17,0.00,0,1.0,-2.5,80.7,0.00
2011-11-18,0.44,8.0,2.0,-1.3,88.2,0.44
2011-11-19,0.14,8.6,2.3,-0.6,94.3,0.58
2011-11-20,-1,-1,4.6,0.9,95.7,0.58
2011-11-21,0.00,0,4.8,2.9,86.5,0.58
2011-11-22,0.00,0,3.9,-2.7,94.1,0.58
2011-11-23,-1,-1,2.1,-2.7,95.7,0.58
2011-11-24,-1,-1,2.6,-1.7,82.2,0.58
2011-11-25,-1,-1,3.5,-1.8,78.1,0.58
2011-11-26,0.71,11.5,-2.0,-4.6,87.5,1.29
2011-11-27,11.91,12.6,-3.8,-5.3,91.0,13.20
2011-11-28,0.00,0,0.0,-3.9,82.9,13.20
2011-11-29,-1,-1,3.8,-0.8,97.3,13.20
2011-11-30,2.43,8.6,0.6,-2.5,90.0,15.63
2011-12-01,0.53,8.6,1.3,-3.5,85.8,16.16
2011-12-02,0.00,0,-3.4,-6.2,75.0,16.16
2011-12-03,3.47,10.7,-1.7,-5.0,97.9,19.63
2011-12-04,0.20,13.7,-3.5,-6.6,79.0,19.83
2011-12-05,0.17,12.2,-2.5,-6.8,81.2,20.00
2011-12-06,0.00,0,-6.4,-8.5,74.3,20.00
2011-12-07,2.32,14.1,-3.9,-7.8,88.8,22.32
2011-12-08,7.72,16.9,-5.7,-10.8,88.3,30.04
2011-12-09,15.57,12.6,-3.4,-5.0,97.9,45.61
2011-12-10,3.82,12.5,-3.2,-7.1,97.2,49.43
2011-12-11,0.27,15.6,-5.9,-9.6,94.5,49.70
2011-12-12,7.00,13.1,-2.0,-7.2,97.7,56.70
2011-12-13,3.11,10.8,-2.0,-4.9,98.7,59.81
2011-12-14,2.65,10.0,-1.6,-3.1,99.8,62.46
2011-12-15,0.66,10.0,-1.7,-4.6,98.9,63.12
2011-12-16,0.50,11.9,-3.1,-6.0,97.6,63.62
2011-12-17,2.72,14.0,-4.4,-5.8,97.0,66.34
2011-12-18,6.46,14.6,-5.2,-5.8,96.4,72.80
2011-12-19,9.08,13.6,-3.3,-5.9,96.8,81.88
2011-12-20,1.15,11.8,-3.3,-8.5,96.5,83.03
2011-12-21,0.51,13.8,-4.4,-8.0,95.4,83.54
2011-12-22,0.07,10.6,-0.1,-8.3,97.7,83.61
2011-12-23,0.27,8.8,-0.2,-5.5,97.2,83.88
2011-12-24,0.00,0,-1.8,-7.5,86.2,83.88
2011-12-25,0.06,7.9,2.4,-2.0,84.3,83.94
2011-12-26,1.21,9.0,4.0,-2.9,86.3,85.15
2011-12-27,0.28,14.4,-3.5,-6.0,79.6,85.43
2011-12-28,3.25,10.5,-1.4,-5.2,91.5,88.68
2011-12-29,1.87,10.1,-1.6,-5.4,93.6,90.55
2011-12-30,0.23,14.5,-4.6,-7.1,85.5,90.78
